Sample_dph,Group,Tissue,Individual,Replicate,Conc_ng/ul,OD_450_nm
,NC,,,1,0,0.027
,NC,,,2,0,0.031
,PC_1,,,1,0.5,0.423
,PC_1,,,2,0.5,0.445
,PC_2,,,1,1,0.571
,PC_2,,,2,1,0.531
,PC_3,,,1,2,0.69
,PC_3,,,2,2,0.608
,PC_4,,,1,5,1.089
,PC_4,,,2,5,1.026
,PC_5,,,1,10,1.198
,PC_5,,,2,10,1.032
40,Control,brain,1,1,100,0.875
40,Control,brain,1,2,100,0.865
40,Control,brain,2,1,100,1.132
40,Control,brain,2,2,100,1.101
40,Control,brain,3,1,100,0.755
40,Control,brain,3,2,100,0.953
86,Td,brain,1,1,100,0.809
86,Td,brain,1,2,100,0.762
86,Td,brain,2,1,100,0.61
86,Td,brain,2,2,100,0.708
86,Td,brain,3,1,100,0.664
86,Td,brain,3,2,100,0.735
140,Td,brain,1,1,100,0.767
140,Td,brain,1,2,100,0.897
140,Td,brain,2,1,100,0.819
140,Td,brain,2,2,100,0.869
140,Td,brain,3,1,100,0.851
140,Td,brain,3,2,100,0.85
188,Td,brain,1,1,100,0.953
188,Td,brain,1,2,100,0.98
188,Td,brain,2,1,100,0.906
188,Td,brain,2,2,100,0.918
188,Td,brain,3,1,100,0.924
188,Td,brain,3,2,100,0.941
86,Ti,brain,1,1,100,1.112
86,Ti,brain,1,2,100,1.2
86,Ti,brain,2,1,100,0.853
86,Ti,brain,2,2,100,0.951
86,Ti,brain,3,1,100,1.057
86,Ti,brain,3,2,100,1.172
140,Ti,brain,1,1,100,1.175
140,Ti,brain,1,2,100,1.239
140,Ti,brain,2,1,100,0.972
140,Ti,brain,2,2,100,1.095
140,Ti,brain,3,1,100,1.151
140,Ti,brain,3,2,100,1.124
188,Ti,brain,1,1,100,1.387
188,Ti,brain,1,2,100,1.361
188,Ti,brain,2,1,100,1.294
188,Ti,brain,2,2,100,1.287
188,Ti,brain,3,1,100,1.268
188,Ti,brain,3,2,100,1.27
40,Control,muscle,1,1,100,1.149
40,Control,muscle,1,2,100,1.256
40,Control,muscle,2,1,100,1.024
40,Control,muscle,2,2,100,1.138
40,Control,muscle,3,1,100,1.143
40,Control,muscle,3,2,100,1.269
86,Td,muscle,1,1,100,0.885
86,Td,muscle,1,2,100,0.794
86,Td,muscle,2,1,100,0.972
86,Td,muscle,2,2,100,0.883
86,Td,muscle,3,1,100,1.139
86,Td,muscle,3,2,100,1.103
140,Td,muscle,1,1,100,0.687
140,Td,muscle,1,2,100,0.728
140,Td,muscle,2,1,100,0.784
140,Td,muscle,2,2,100,0.776
140,Td,muscle,3,1,100,0.712
140,Td,muscle,3,2,100,0.685
188,Td,muscle,1,1,100,1.027
188,Td,muscle,1,2,100,0.946
188,Td,muscle,2,1,100,0.981
188,Td,muscle,2,2,100,1.002
188,Td,muscle,3,1,100,0.798
188,Td,muscle,3,2,100,0.779
86,Ti,muscle,1,1,100,0.971
86,Ti,muscle,1,2,100,0.812
86,Ti,muscle,2,1,100,0.842
86,Ti,muscle,2,2,100,1.01
86,Ti,muscle,3,1,100,0.971
86,Ti,muscle,3,2,100,0.948
140,Ti,muscle,1,1,100,0.787
140,Ti,muscle,1,2,100,0.704
140,Ti,muscle,2,1,100,0.405
140,Ti,muscle,2,2,100,0.507
140,Ti,muscle,3,1,100,0.745
140,Ti,muscle,3,2,100,0.556
188,Ti,muscle,1,1,100,0.497
188,Ti,muscle,1,2,100,0.644
188,Ti,muscle,2,1,100,0.501
188,Ti,muscle,2,2,100,0.592
188,Ti,muscle,3,1,100,0.436
188,Ti,muscle,3,2,100,0.549
