Age,DPT,Treatment,Tissue,Individual,Replicate,Cq_Gap8,Cq_Tel1b
,,NTC,,,1,NaN,NaN
,,NTC,,,2,NaN,NaN
,,NTC,,,3,NaN,NaN
,,Std-01,brain_pool,,1,20.12102532,5.54780251
,,Std-01,brain_pool,,2,20.68979844,5.30187712
,,Std-01,brain_pool,,3,20.74404382,5.23232482
,,Std-02,brain_pool,,1,22.65455146,7.45292189
,,Std-02,brain_pool,,2,22.55152295,7.34721362
,,Std-02,brain_pool,,3,22.93805619,7.30910044
,,Std-03,brain_pool,,1,25.67801485,10.63857523
,,Std-03,brain_pool,,2,25.36256863,9.19675134
,,Std-03,brain_pool,,3,33.26940754,9.5844157
,,Std-04,brain_pool,,1,28.41165912,12.20827307
,,Std-04,brain_pool,,2,28.15692162,11.96860937
,,Std-04,brain_pool,,3,28.22335827,12.07100318
,,Std-05,brain_pool,,1,29.69364828,14.24384132
,,Std-05,brain_pool,,2,29.90623681,14.18065166
,,Std-05,brain_pool,,3,30.66411878,14.18902426
40,0,Control,brain,1,1,22.46845467,5.21808424
40,0,Control,brain,1,2,22.59049102,5.09713809
40,0,Control,brain,1,3,22.3916802,5.61489938
40,0,Control,brain,2,1,22.6316002,5.84626548
40,0,Control,brain,2,2,23.57421939,6.06978962
40,0,Control,brain,2,3,23.55967379,6.47217904
40,0,Control,brain,3,1,21.57186024,5.28904223
40,0,Control,brain,3,2,21.05245637,5.19384923
40,0,Control,brain,3,3,21.30630628,5.64373334
86,46,WTR,brain,1,1,21.41453466,4.42622994
86,46,WTR,brain,1,2,20.61458369,5.80153614
86,46,WTR,brain,1,3,21.42249438,5.52314317
86,46,WTR,brain,2,1,20.81977625,5.82774883
86,46,WTR,brain,2,2,21.14043138,5.81563391
86,46,WTR,brain,2,3,21.16936956,5.95111309
86,46,WTR,brain,3,1,22.92306947,6.18486512
86,46,WTR,brain,3,2,20.2883262,5.99983792
86,46,WTR,brain,3,3,20.51503966,5.35019638
140,100,WTR,brain,1,1,20.21792776,5.90074257
140,100,WTR,brain,1,2,20.52288044,5.24135213
140,100,WTR,brain,1,3,20.33776139,5.29273756
140,100,WTR,brain,2,1,20.26249226,4.73250176
140,100,WTR,brain,2,2,20.3608509,5.30253193
140,100,WTR,brain,2,3,20.53146925,3.99728513
140,100,WTR,brain,3,1,20.33649954,6.18975021
140,100,WTR,brain,3,2,20.01128046,5.59985217
140,100,WTR,brain,3,3,20.06309828,5.37827853
188,148,WTR,brain,1,1,19.60176889,4.84417565
188,148,WTR,brain,1,2,19.72382514,4.55187622
188,148,WTR,brain,1,3,19.72039362,4.6476383
188,148,WTR,brain,2,1,19.57693463,4.8842355
188,148,WTR,brain,2,2,19.17569019,4.42457974
188,148,WTR,brain,2,3,18.88188202,4.34288907
188,148,WTR,brain,3,1,19.669196,5.56372706
188,148,WTR,brain,3,2,19.71973952,5.83981115
188,148,WTR,brain,3,3,20.12298169,5.47733265
86,46,RTR,brain,1,1,20.61941965,4.96389262
86,46,RTR,brain,1,2,20.38378193,4.88051375
86,46,RTR,brain,1,3,20.17097626,4.26078829
86,46,RTR,brain,2,1,20.2773791,5.16985268
86,46,RTR,brain,2,2,20.69504989,4.50241408
86,46,RTR,brain,2,3,20.70904835,4.02048379
